Manual Score,Manual Hospital Address,address_py,Levenshtein Distance,Jaro Wrinkler Distance,Jaccard Distance,Cosine Distance,Monge Elkan Distance *100,BWTRLENCD Distance,Monge Elkan Distance *10
0.6,"Kothapeta, East Godavari, Andhra Pradesh","Amalapuram - Bobbarlanka Road, Kothapeta, Konaseema, Andhra Pradesh, 533223, India",0.317073171,0.62441928,0.418604651,0.628587266,0.0115625,0.103896104,0.115625
0.65,"Khanpur Kalan, Sonipat, Haryana","Bhagat Phool Singh Government Medical College for Women Blood Bank, Sonipat, Gohana, Sonipat, Haryana, 131305, India",0.232758621,0.553989618,0.235294118,0.466926142,0.014568158,0.132075472,0.14568158
0.3,"23B/2/12, West Godavari, Andhra Pradesh","Agraharam, Powerpet, Eluru, Andhra Pradesh, 534001, India",0.350877193,0.553756185,0.432835821,0.615075271,0.009861933,0.1,0.09861933
0.7,"Haripura Road, Near Nexa Showroom, Sangrur, Punjab","Chandigarh Heart Centre, Bypass Road, Sangrur, Sangrur Tahsil, Sangrur, Punjab, 148001, India",0.344086022,0.652759857,0.415841584,0.615917883,0.009,0.1625,0.09
0.5,"20-7-67, Chittoor, Andhra Pradesh","thota palem, Chittoor, Andhra Pradesh, 517001, India",0.5,0.595959596,0.49122807,0.675926369,0.013314968,0.163265306,0.13314968
0.65,"Kamrup, Assam","Dispur, Kamrup Metropolitan, Assam, 781035, India",0.265306122,0.626896913,0.265306122,0.515078754,0.038461538,0.065217391,0.38461538
0.6,"Near Bus Stand Isha Nagar, Chhatarpur, Madhya Pradesh","Gaharwar, Chhatarpur Tahsil, Chhatarpur, Madhya Pradesh, 471315, India",0.471428571,0.690798824,0.597402597,0.755215469,0.008543966,0.234375,0.08543966
0.6,"Soppugudde Raghavendra Extension Thirthahalli, Shimoga, Karnataka","Anuradha Nursing Home, Venkatesha Talkies Road, Soppugudde, Tirthahalli, Tirthahalli taluk, Shimoga District, Karnataka, 577432, India",0.320895522,0.649596929,0.452554745,0.664328083,0.007337278,0.106557377,0.07337278
0.65,"Kashipur Road, Udham Singh Nagar, Uttarakhand","Amrit Hospital, NH309, Rudrapur, Kichha, Udham Singh Nagar, Uttarakhand, 263153, India",0.441860465,0.685529716,0.523255814,0.723364233,0.011111111,0.076923077,0.11111111
0.6,"Mohan Nagar, Opposite Easy Day, Pipli Road, Kurukshetra, Kurukshetra, Haryana","Kheri Markanda, Thanesar, Kurukshetra, Haryana, 132118, India",0.311688312,0.644690968,0.568181818,0.729557832,0.005312869,0.236111111,0.05312869
